DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,Working_Population,Houses,CPI,UNRATE,Cons_Materials,FEDFUNDS,Num_Households,Income,Subsidy
2010-04-01,146.403,2010,4,54100.0,199116837.453571,6.2,217.403,9.9,196.5,0.2,117538.0,64300.0,32.669
2010-05-01,146.394,2010,5,54200.333333333336,199225487.91262695,9.3,217.29,9.6,198.9,0.2,117538.0,64300.0,32.669
2010-06-01,145.721,2010,6,54300.666666666664,198999262.421882,8.3,217.199,9.4,197.2,0.18,117538.0,64300.0,32.669
2010-07-01,144.991,2010,7,54401.0,199105074.427268,8.9,217.605,9.4,195.6,0.18,117538.0,64300.0,32.669
2010-08-01,143.916,2010,8,54457.0,199360082.210574,8.8,217.923,9.5,194.1,0.19,117538.0,64300.0,32.669
2010-09-01,143.019,2010,9,54513.0,199591386.883824,7.6,218.275,9.5,193.9,0.19,117538.0,64300.0,32.669
2010-10-01,142.531,2010,10,54569.0,199860409.9584,8.2,219.035,9.4,193.8,0.19,117538.0,64300.0,32.669
2010-11-01,142.173,2010,11,54493.0,199933840.025682,8.2,219.59,9.8,193.6,0.19,117538.0,64300.0,32.669
2010-12-01,142.06,2010,12,54417.0,199961557.434899,7.0,220.472,9.3,194.2,0.18,117538.0,64300.0,32.669
2011-01-01,141.52100000000002,2011,1,54341.0,199070588.283022,7.3,221.187,9.1,195.9,0.17,119927.0,63350.0,34.23
2011-02-01,140.35,2011,2,54430.666666666664,199328475.322804,8.1,221.898,9.0,198.1,0.16,119927.0,63350.0,34.23
2011-03-01,139.981,2011,3,54520.333333333336,199524091.216163,7.2,223.046,9.0,199.7,0.14,119927.0,63350.0,34.23
2011-04-01,140.01,2011,4,54610.0,199950702.45863,6.7,224.093,9.1,201.1,0.1,119927.0,63350.0,34.23
2011-05-01,139.905,2011,5,54567.333333333336,200048232.572712,6.6,224.806,9.0,201.6,0.09,119927.0,63350.0,34.23
2011-06-01,139.862,2011,6,54524.666666666664,199917201.43496,6.6,224.806,9.1,201.9,0.09,119927.0,63350.0,34.23
2011-07-01,139.73,2011,7,54482.0,200019712.799292,6.7,225.395,9.0,202.6,0.07,119927.0,63350.0,34.23
2011-08-01,139.309,2011,8,54647.666666666664,200121131.328388,6.5,226.106,9.0,202.8,0.1,119927.0,63350.0,34.23
2011-09-01,138.668,2011,9,54813.333333333336,200261981.843865,6.3,226.597,9.0,202.7,0.08,119927.0,63350.0,34.23
2011-10-01,137.952,2011,10,54979.0,200456315.211364,6.0,226.75,8.8,202.7,0.07,119927.0,63350.0,34.23
2011-11-01,137.15200000000002,2011,11,55100.0,200414593.178849,5.7,227.169,8.6,202.2,0.08,119927.0,63350.0,34.23
2011-12-01,136.674,2011,12,55221.0,200418323.18193,5.3,227.223,8.5,202.2,0.07,119927.0,63350.0,34.23
2012-01-01,136.607,2012,1,55342.0,201012879.326228,5.3,227.842,8.3,203.9,0.08,121084.0,63350.0,33.283
2012-02-01,136.533,2012,2,55391.333333333336,201108274.046387,4.8,228.329,8.3,205.1,0.1,121084.0,63350.0,33.283
2012-03-01,137.904,2012,3,55440.666666666664,201199800.545114,4.9,228.807,8.2,205.7,0.13,121084.0,63350.0,33.283
2012-04-01,139.154,2012,4,55490.0,201473874.824689,4.9,229.187,8.2,206.3,0.14,121084.0,63350.0,33.283
2012-05-01,140.155,2012,5,55478.0,201512387.169875,4.7,228.713,8.2,206.5,0.16,121084.0,63350.0,33.283
